latitude,longitude,name,comments,rating,cp
19.4588081,-99.2041077,Oxxo Argentina,11,2.2,11330
19.4062323,-99.165044,Oxxo,113,3.8,11330
19.4276597,-99.1762207,Oxxo Descartes,72,3.7,11330
19.456937,-99.2148213,Oxxo,9,2.8,11330
19.457536,-99.1922432,Oxxo,3,4.3,11330
19.4299437,-99.1424172,OXXO López,10,2.1,11330
19.455906,-99.1285074,Oxxo Estaño 1,8,2.8,11330
19.4575971,-99.1448261,Oxxo,28,3.2,11330
19.4321424,-99.1821094,Oxxo Spencer,9,2.4,11330
19.4140468,-99.179986,Oxxo,10,4.2,11330
19.4061953,-99.15553,Oxxo,14,2.5,11330
19.4841215,-99.1826645,Oxxo 22 de febrero,21,4.0,11330
19.4510079,-99.1817527,Oxxo carrillo puerto,5,1.8,11330
19.3971948,-99.171045,Oxxo,4,3.8,11330
19.4195782,-99.177201,Oxxo,3,3.7,11330
19.4306564,-99.2166101,Oxxo,8,2.8,11330
19.4511956,-99.1725448,Oxxo Plan de Ayala,154,3.7,11340
19.4498118,-99.164592,OXXO,17,2.8,11340
19.4468424,-99.1574657,OXXO,9,3.4,11340
19.4509338,-99.1709822,Oxxo José Parres,1,5.0,11340
19.4539135,-99.1766281,OXXO MEXICO TACUBA,18,3.7,11340
19.4488792,-99.1722207,Oxxo,33,3.6,11340
19.4479703,-99.1531841,Oxxo,323,3.6,11340
19.4425001,-99.1742479,OXXO,9,3.1,11340
19.4628973,-99.1713479,OXXO,13,2.3,11340
19.4581385,-99.179526,OXXO Mar Egeo,15,1.9,11340
19.4362459,-99.1748294,Oxxo,8,3.9,11340
19.451153,-99.1608224,OXXO Fresno,37,4.0,11340
19.4619655,-99.1758566,OXXO Biólogo,15,3.9,11340
19.4432774,-99.164563,OXXO San Cosme,137,3.9,11340
19.4493779,-99.1600231,Oxxo,17,2.9,11340
19.4563833,-99.1807509,Oxxo Popotla,18,2.7,11340
19.4451867,-99.1585671,OXXO,4,4.0,11340
19.4447067,-99.1761586,OXXO,47,3.7,11340
19.4582188,-99.1842213,Oxxo Golfo de California,70,4.1,11340
19.4445676,-99.1676939,OXXO Tlaxpana,8,3.5,11340
19.4407421,-99.166367,OXXO,14,4.0,11340
19.4318035,-99.1732996,Oxxo Anzures,25,2.3,11340
19.447683,-99.1624357,Oxxo Cedro,10,3.3,11340
19.4511227,-99.1903175,Oxxo Lago Chiem,27,3.9,11340
19.4454618,-99.1830273,Oxxo,32,3.2,11340
19.4546015,-99.1914361,OXXO Lago Ontario,17,2.8,11340
19.4381584,-99.1513015,OXXO Puente de Alvarado,8,4.1,11340
19.4602699,-99.1657692,Oxxo,392,3.9,11340
19.4606028,-99.1780545,Oxxo,53,4.1,11340
19.432866,-99.1656024,OXXO Nazas,8,2.9,11340
19.441403,-99.1628389,Oxxo Gabino barreda,15,2.8,11340
19.445691,-99.167022,OXXO Maestros,13,2.9,11340
19.4480133,-99.151598,Oxxo,8,1.5,11340
19.4551643,-99.1578241,OXXO Naranjo,10,3.5,11340
19.4375525,-99.1771405,Oxxo Bahía de Ballenas,23,3.7,11340
19.4640836,-99.1556617,OXXO,138,4.2,11340
19.4363607,-99.152854,Oxxo,5,2.6,11340
19.4274081,-99.1626797,OXXO,29,3.8,11340
19.4412492,-99.1581765,OXXO,1,4.0,11340
19.4316655,-99.1619073,Oxxo Marne,12,2.1,11340
19.4700294,-99.1700537,Oxxo,77,4.0,11340
19.4460954,-99.1534946,Oxxo,14,2.6,11340
19.4466235,-99.190199,OXXO Anáhuac I,14,3.0,11340
19.4560789,-99.1662275,Oxxo,30,3.2,11340
19.4565986,-99.1884229,Oxxo,16,3.5,11340
19.463926,-99.1699135,Oxxo,250,3.9,11340
19.4292689,-99.1782537,Oxxo Darwin II,31,3.5,11340
19.4528524,-99.1582577,Onix Oxxo,24,3.6,11340
19.4357663,-99.1695752,Oxxo,7,3.3,11340
19.4419869,-99.1830897,Oxxo,179,3.8,11340
19.431074,-99.1636868,Oxxo,51,4.2,11340
19.4349387,-99.175985,Oxxo Chachalacas.,15,3.9,11340
