latitude,longitude,name,comments,rating,Address,Neighborhood,City,Postal,Subregion,Region,Bajo,Medio Bajo,Medio Alto,Alto
19.3599485,-99.1831651,Oxxo,15.0,3.7,Avenida Insurgentes Sur,,Florida,01030,alvaro obregon,ciudad de méxico,,104,80,24
19.3569661,-99.1989753,Oxxo Zamora,12.0,3.3,Calzada de los Leones,,Las Águilas,01710,alvaro obregon,ciudad de méxico,,104,80,24
19.3400074,-99.1996131,OXXO,14.0,3.4,Michoacán,Sn Ángel,Tizapan San Angel,01080,alvaro obregon,ciudad de méxico,,104,80,24
19.3390457,-99.192184,Oxxo Altamirano Valle,4.0,2.0,Avenida Revolución 1915,Sn Ángel,Loreto,01090,alvaro obregon,ciudad de méxico,,104,80,24
19.3359656,-99.1804397,Oxxo odontología,44.0,3.7,Avenida Copilco,Coyoacán Nb,Copilco Universidad,04360,coyoacan,ciudad de méxico,,53,60,43
19.3394322,-99.2038138,Oxxo Cerrada Durango,37.0,3.8,Boulevard Adolfo López Mateos,,Progreso Tizapán,01080,alvaro obregon,ciudad de méxico,,104,80,24
19.3514102,-99.178246,OXXO,10.0,3.2,Avenida Universidad 1589,,Ex-Hac. de Guadalupe Chimalistac,01050,alvaro obregon,ciudad de méxico,,104,80,24
19.3456998,-99.1746496,Oxxo,67.0,4.1,Kappa 5,Coyoacán Nb,Fraccionamiento Romero de Terreros,04310,coyoacan,ciudad de méxico,,53,60,43
19.3659838,-99.1978044,Oxxo Anaya,63.0,3.8,Calle General Anaya 4,,Merced Gómez,01600,alvaro obregon,ciudad de méxico,,104,80,24
19.341728,-99.1814947,Oxxo,32.0,3.1,Avenida Universidad,Coyoacán Nb,Altillo Universidad,04350,coyoacan,ciudad de méxico,,53,60,43
19.3581501,-99.1901391,OXXO Campestre revolución,9.0,3.9,Avenida Revolución 1349,Sn Ángel,Campestre,01040,alvaro obregon,ciudad de méxico,,104,80,24
19.3364722,-99.1929639,Oxxo Revolucion CU,32.0,3.4,Avenida Revolución,Coyoacán Nb,Ciudad Universitaria,04360,coyoacan,ciudad de méxico,,53,60,43
19.3352243,-99.2137173,Oxxo Luis Hidalgo,24.0,2.5,Avenida San Bernabé,,Independencia Batán Norte,10100,la magdalena contreras,ciudad de méxico,,52,41,6
19.3371478,-99.1836077,Oxxo,13.0,3.8,Comercio y Administración,Coyoacán Nb,Copilco Universidad,04360,coyoacan,ciudad de méxico,,53,60,43
19.3731812,-99.1868945,Oxxo Goya,1.0,5.0,Avenida Patriotismo 889,,Insurgentes Mixcoac,03920,benito juarez,ciudad de méxico,,,54,39
19.3671843,-99.1813912,Oxxo San Jose,9.0,2.7,Calle Capuchinas,,San José Insurgentes,03900,benito juarez,ciudad de méxico,,,54,39
19.3661807,-99.1784482,OXXO Mixcoac Valle,13.0,2.6,Circuito Interior,,Actipan,03230,benito juarez,ciudad de méxico,,,54,39
19.3593067,-99.1707288,Oxxo Valle coyoacan,6.0,4.5,Avenida Río Churubusco,Coyoacán Nb,Xoco,03330,benito juarez,ciudad de méxico,,,54,39
19.3462317,-99.1756656,Oxxo Maq,171.0,4.0,1ra Cerrada del Pedregal 37,Coyoacán Nb,Santa Catarina,04010,coyoacan,ciudad de méxico,,53,60,43
19.3820241,-99.1845507,Oxxo Berruguete,41.0,4.2,Avenida Patriotismo,,Santa María Nonoalco,03700,benito juarez,ciudad de méxico,,,54,39
19.3625408,-99.1963994,OXXO,11.0,2.8,Calzada de los Leones 115,,Los Alpes,01010,alvaro obregon,ciudad de méxico,,104,80,24
19.3715169,-99.1869525,OXXO Sagredo,10.0,3.0,Calle Sagredo 10,,San José Insurgentes,03900,benito juarez,ciudad de méxico,,,54,39
19.3626356,-99.1916518,Oxxo Periférico,80.0,3.9,Boulevard Adolfo López Mateos,,Los Alpes,01010,alvaro obregon,ciudad de méxico,,104,80,24
19.3452386,-99.1674855,OXXO Miguel Angel de Quevedo,16.0,3.7,Avenida Miguel Ángel de Quevedo 566,Coyoacán Nb,Santa Catarina,04010,coyoacan,ciudad de méxico,,53,60,43
19.3583535,-99.2061085,Oxxo albulferas mex,11.0,3.0,Calle Albuferas,,Las Águilas,01710,alvaro obregon,ciudad de méxico,,104,80,24
19.3688312,-99.1807399,OXXO Plaza manacar,7.0,2.7,Avenida Insurgentes Sur,,Insurgentes Mixcoac,03920,benito juarez,ciudad de méxico,,,54,39
19.3671076,-99.1920201,Oxxo Ocaranza,27.0,3.9,Calle Miguel Ocaranza,,Merced Gómez,01600,alvaro obregon,ciudad de méxico,,104,80,24
19.3653662,-99.2022076,Oxxo Merced Gómez,6.0,3.3,Avenida 5 de Mayo,,Merced Gómez,01600,alvaro obregon,ciudad de méxico,,104,80,24
19.3647291,-99.1954175,Oxxo Plateros,54.0,3.5,Calzada de los Leones,,Merced Gómez,01600,alvaro obregon,ciudad de méxico,,104,80,24
19.338251,-99.2211707,Oxxo,6.0,1.7,Avenida Toluca 575,,Olivar de los Padres,01780,alvaro obregon,ciudad de méxico,,104,80,24
19.368344,-99.1794992,Oxxo Jabali,7.0,3.0,Calle Jabalí 55,,Actipan,03230,benito juarez,ciudad de méxico,,,54,39
19.3661986,-99.1770963,Oxxo,40.0,3.1,San Francisco 1860,,Acacias,03240,benito juarez,ciudad de méxico,,,54,39
19.3675747,-99.1888702,Oxxo,12.0,3.8,Calle Claudio Arciniega 6,,Merced Gómez,03930,benito juarez,ciudad de méxico,,,54,39
19.3715152,-99.188492,Oxxo,35.0,3.2,Avenida Revolución,,Mixcoac,03910,benito juarez,ciudad de méxico,,,54,39
19.3360845,-99.2007818,Oxxo Rio Magdalena,7.0,3.4,Río de la Magdalena 182,Sn Ángel,La Otra Banda,01090,alvaro obregon,ciudad de méxico,,104,80,24
19.3727585,-99.1795477,Oxxo,19.0,1.8,Avenida Insurgentes Sur 1339,,Insurgentes Mixcoac,03920,benito juarez,ciudad de méxico,,,54,39
19.3438425,-99.1592436,Oxxo,16.0,2.6,Avenida Miguel Ángel de Quevedo 801,Coyoacán Nb,Del Niño Jesús,04330,coyoacan,ciudad de méxico,,53,60,43
19.3556489,-99.1742501,Oxxo,9.0,3.3,Avenida Universidad,,Pueblo Axotla,01030,alvaro obregon,ciudad de méxico,,104,80,24
19.3437458,-99.1553073,Oxxo,10.0,2.6,Avenida América,Coyoacán Nb,La Concepción,04020,coyoacan,ciudad de méxico,,53,60,43
19.3694779,-99.1735051,OXXO,51.0,3.6,Adolfo Prieto,,Del Valle Sur,03104,benito juarez,ciudad de méxico,,,54,39
19.3531644,-99.2163028,Oxxo Águilas del Sur,13.0,3.7,Calzada de las Águilas 819,,Unidad Habitacional Las Águilas,01048,alvaro obregon,ciudad de méxico,,104,80,24
19.3545554,-99.163554,OXXO,136.0,3.7,Calle Londres 280,Coyoacán Nb,Del Carmen,04100,coyoacan,ciudad de méxico,,53,60,43
19.3678899,-99.1586412,OXXO Xochicalco,12.0,4.3,Prolongación Xochicalco 840,Coyoacán Nb,Residencial Emperadores,03320,benito juarez,ciudad de méxico,,,54,39
19.3355709,-99.1697789,OXXO Anacahuita,19.0,2.4,Anacahuita,Coyoacán Nb,Pedregal de Santo Domingo,04369,coyoacan,ciudad de méxico,,53,60,43
19.363106,-99.1908927,OXXO,6.0,3.8,Boulevard Adolfo López Mateos,Sn Ángel,Los Alpes,01010,alvaro obregon,ciudad de méxico,,104,80,24
19.3329085,-99.1737114,Oxxo,6.0,3.0,Avenida Antonio Delfín Madrigal,Coyoacán Nb,Pedregal de Santo Domingo,04369,coyoacan,ciudad de méxico,,53,60,43
19.3753798,-99.1866935,Oxxo EXTREMADURA,10.0,3.5,Avenida Patriotismo,,Insurgentes Mixcoac,03920,benito juarez,ciudad de méxico,,,54,39
19.3429262,-99.2238543,Oxxo Leones de San Agustin,13.0,4.1,Calle San Agustín,,2A del Moral del Pueblo Tetelpan,01700,alvaro obregon,ciudad de méxico,,104,80,24
19.3703722,-99.1838954,OXXO RIO Mixcoac 50MXU,6.0,3.8,Calle Antonio Canova 106,,Insurgentes Mixcoac,03920,benito juarez,ciudad de méxico,,,54,39
19.3900556,-99.1440324,Oxxo,16.0,2.1,Castilla,del Valle,Miguel Alemán,03420,benito juarez,ciudad de méxico,,,54,39
19.3723777,-99.2068938,OXXO,120.0,3.2,Cerrada Santa Lucía,,Hogar y Redención,01450,alvaro obregon,ciudad de méxico,,104,80,24
19.3707886,-99.1667071,Oxxo,16.0,2.8,Nicolás San Juan 1610,,Del Valle Sur,03104,benito juarez,ciudad de méxico,,,54,39
19.3417161,-99.2310211,Oxxo,17.0,3.9,Calzada Desierto de los Leones,,La Peñita del Pueblo Tetelpan,01740,alvaro obregon,ciudad de méxico,,104,80,24
19.3725636,-99.1933092,Oxxo,31.0,3.9,Calle Molinos,,Alfonso XIII,01460,alvaro obregon,ciudad de méxico,,104,80,24
19.3751154,-99.1827668,Oxxo Rodin,25.0,2.0,Calle Augusto Rodin 410,,Insurgentes Mixcoac,03920,benito juarez,ciudad de méxico,,,54,39
19.3717093,-99.1707864,Oxxo,23.0,1.7,Avenida Coyoacán,,Centro Urbano Presidente Alemán,03100,benito juarez,ciudad de méxico,,,54,39
