latitude,longitude,name,comments,rating,cp
19.454002,-99.1244876,Oxxo Cobre,18,3.7,06200
19.4510724,-99.1237106,Oxxo Alfarería,65,3.5,06200
19.4517932,-99.1222616,Oxxo,5,3.4,06200
19.4476169,-99.1358612,OXXO,32,3.3,06200
19.4551337,-99.1302555,Oxxo Rossini,20,3.3,06200
19.4377778,-99.1397222,OXXO Cuba,29,2.8,06200
19.455906,-99.1285074,Oxxo Estaño 1,8,2.8,06200
19.4520578,-99.1177107,OXXO Aluminio,112,3.5,06200
19.4397146,-99.1339987,Oxxo,10,3.0,06200
19.4381584,-99.1513015,OXXO Puente de Alvarado,8,4.1,06200
19.4601625,-99.1245814,Oxxo Mapimi,109,4.1,06200
19.4354858,-99.1337451,Oxxo,10,3.1,06200
19.4636036,-99.1304624,OXXO Constantino,10,3.2,06200
19.4500977,-99.146546,Oxxo,50,3.4,06200
19.4354951,-99.123895,OXXO,40,3.4,06200
19.4415333,-99.1214042,Oxxo,105,3.4,06200
19.4534949,-99.1342337,Oxxo Tlatelolco II,51,3.9,06200
19.4273534,-99.1455338,Oxxo Arcos B,2,3.0,06200
19.4468424,-99.1574657,OXXO,9,3.4,06200
19.441181,-99.1445903,Oxxo,13,2.8,06200
19.4370794,-99.1494749,Oxxo,5,3.4,06200
19.4412492,-99.1581765,OXXO,1,4.0,06200
19.4451462,-99.1472471,OXXO MOSQUETA,11,2.6,06200
19.4639837,-99.1206958,Oxxo,11,3.0,06200
19.4260216,-99.1310327,Oxxo,13,2.8,06200
19.4479703,-99.1531841,Oxxo,323,3.6,06200
19.4363607,-99.152854,Oxxo,5,2.6,06200
19.4330848,-99.1421522,OXXO,13,2.6,06200
19.4400381,-99.1485339,Oxxo mina I,12,3.2,06200
19.4526227,-99.145337,Oxxo,18,3.3,06200
19.4465734,-99.1446392,Oxxo,29,3.2,06200
19.4620034,-99.1277013,OXXO Misterios,25,3.0,06200
19.4480133,-99.151598,Oxxo,8,1.5,06200
19.4334853,-99.1459838,OXXO,15,3.8,06200
19.4548353,-99.1553594,Oxxo,7,2.9,06200
19.439476,-99.1554,OXXO Ezequiel Montes,9,3.8,06200
19.4481738,-99.1522616,Oxxo,1,3.7,06200
