State ID,State,Municipality ID,Municipality,Academic Degree ID,Academic Degree,Population
15,Estado de México,15024,Cuautitlán,0,Ninguno,10632
15,Estado de México,15028,Chiautla,4,Preparatoria o Bachillerato General,10599
15,Estado de México,15060,Nicolás Romero,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,10549
9,Ciudad de México,9008,La Magdalena Contreras,7,Estudios Técnicos o Comerciales con Secundaria Terminada,10538
15,Estado de México,15088,Tenancingo,1,Preescolar o Kínder,10488
15,Estado de México,15057,Naucalpan de Juárez,12,Especialidad,10482
15,Estado de México,15092,Teotihuacán,11,Licenciatura,10435
15,Estado de México,15045,Jilotepec,0,Ninguno,10395
15,Estado de México,15124,San José del Rincón,4,Preparatoria o Bachillerato General,10392
15,Estado de México,15013,Atizapán de Zaragoza,99,No especificado,10381
9,Ciudad de México,9014,Benito Juárez,10,Normal de Licenciatura,10376
15,Estado de México,15044,Jaltenco,4,Preparatoria o Bachillerato General,10287
15,Estado de México,15095,Tepotzotlán,0,Ninguno,10286
15,Estado de México,15075,San Martín de las Pirámides,4,Preparatoria o Bachillerato General,10265
15,Estado de México,15091,Teoloyucan,11,Licenciatura,10248
15,Estado de México,15113,Villa Guerrero,0,Ninguno,10227
15,Estado de México,15104,Tlalnepantla de Baz,10,Normal de Licenciatura,10220
15,Estado de México,15067,Otzolotepec,11,Licenciatura,10208
9,Ciudad de México,9008,La Magdalena Contreras,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,10118
15,Estado de México,15112,Villa del Carbón,4,Preparatoria o Bachillerato General,10090
15,Estado de México,15123,Luvianos,0,Ninguno,10083
15,Estado de México,15105,Tlatlaya,0,Ninguno,10024
15,Estado de México,15103,Tlalmanalco,11,Licenciatura,10001
15,Estado de México,15036,Hueypoxtla,4,Preparatoria o Bachillerato General,9973
9,Ciudad de México,9017,Venustiano Carranza,13,Maestría,9960
9,Ciudad de México,9003,Coyoacán,10,Normal de Licenciatura,9944
15,Estado de México,15049,Joquicingo,2,Primaria,9905
15,Estado de México,15114,Villa Victoria,1,Preescolar o Kínder,9885
15,Estado de México,15119,Zumpahuacán,3,Secundaria,9747
15,Estado de México,15015,Atlautla,4,Preparatoria o Bachillerato General,9703
15,Estado de México,15090,Tenango del Valle,1,Preescolar o Kínder,9637
15,Estado de México,15033,Ecatepec de Morelos,12,Especialidad,9569
