State ID,State,Municipality ID,Municipality,Academic Degree ID,Academic Degree,Population
9,Ciudad de México,9015,Cuauhtémoc,0,Ninguno,29220
15,Estado de México,15115,Xonacatlán,3,Secundaria,29216
9,Ciudad de México,9011,Tláhuac,0,Ninguno,29206
15,Estado de México,15005,Almoloya de Juárez,0,Ninguno,29020
15,Estado de México,15032,Donato Guerra,2,Primaria,28921
15,Estado de México,15009,Amecameca,3,Secundaria,28910
9,Ciudad de México,9007,Iztapalapa,13,Maestría,28833
15,Estado de México,15003,Aculco,3,Secundaria,28708
9,Ciudad de México,9002,Azcapotzalco,1,Preescolar o Kínder,28529
9,Ciudad de México,9010,Álvaro Obregón,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,28458
15,Estado de México,15014,Atlacomulco,4,Preparatoria o Bachillerato General,28425
15,Estado de México,15057,Naucalpan de Juárez,13,Maestría,28417
9,Ciudad de México,9003,Coyoacán,0,Ninguno,28377
15,Estado de México,15042,Ixtlahuaca,0,Ninguno,28316
15,Estado de México,15111,Villa de Allende,3,Secundaria,28183
15,Estado de México,15036,Hueypoxtla,3,Secundaria,28057
9,Ciudad de México,9012,Tlalpan,5,Bachillerato Tecnológico o Normal Básica,27937
15,Estado de México,15113,Villa Guerrero,3,Secundaria,27878
15,Estado de México,15104,Tlalnepantla de Baz,7,Estudios Técnicos o Comerciales con Secundaria Terminada,27242
15,Estado de México,15103,Tlalmanalco,3,Secundaria,27185
15,Estado de México,15124,San José del Rincón,0,Ninguno,27149
9,Ciudad de México,9012,Tlalpan,7,Estudios Técnicos o Comerciales con Secundaria Terminada,27017
9,Ciudad de México,9013,Xochimilco,5,Bachillerato Tecnológico o Normal Básica,26927
15,Estado de México,15037,Huixquilucan,1,Preescolar o Kínder,26831
9,Ciudad de México,9012,Tlalpan,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,26758
15,Estado de México,15059,Nextlalpan,3,Secundaria,26728
15,Estado de México,15029,Chicoloapan,0,Ninguno,26710
9,Ciudad de México,9002,Azcapotzalco,7,Estudios Técnicos o Comerciales con Secundaria Terminada,26564
15,Estado de México,15112,Villa del Carbón,3,Secundaria,26550
15,Estado de México,15106,Toluca,5,Bachillerato Tecnológico o Normal Básica,26333
15,Estado de México,15114,Villa Victoria,0,Ninguno,26166
15,Estado de México,15002,Acolman,11,Licenciatura,25927
9,Ciudad de México,9009,Milpa Alta,11,Licenciatura,25708
15,Estado de México,15059,Nextlalpan,2,Primaria,25640
15,Estado de México,15009,Amecameca,2,Primaria,25523
15,Estado de México,15070,La Paz,1,Preescolar o Kínder,25433
9,Ciudad de México,9016,Miguel Hidalgo,1,Preescolar o Kínder,25402
15,Estado de México,15100,Tezoyuca,3,Secundaria,25236
15,Estado de México,15063,Ocuilan,2,Primaria,25034
15,Estado de México,15121,Cuautitlán Izcalli,5,Bachillerato Tecnológico o Normal Básica,24868
15,Estado de México,15121,Cuautitlán Izcalli,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,24766
15,Estado de México,15086,Temascaltepec,2,Primaria,24738
15,Estado de México,15118,Zinacantepec,0,Ninguno,24681
15,Estado de México,15120,Zumpango,0,Ninguno,24679
15,Estado de México,15084,Temascalapa,3,Secundaria,24552
15,Estado de México,15120,Zumpango,1,Preescolar o Kínder,24538
15,Estado de México,15084,Temascalapa,2,Primaria,24468
15,Estado de México,15023,Coyotepec,3,Secundaria,24348
15,Estado de México,15104,Tlalnepantla de Baz,5,Bachillerato Tecnológico o Normal Básica,24294
9,Ciudad de México,9007,Iztapalapa,10,Normal de Licenciatura,24284
15,Estado de México,15037,Huixquilucan,0,Ninguno,24273
15,Estado de México,15074,San Felipe del Progreso,4,Preparatoria o Bachillerato General,24198
15,Estado de México,15064,El Oro,2,Primaria,24122
15,Estado de México,15096,Tequixquiac,2,Primaria,23945
9,Ciudad de México,9011,Tláhuac,5,Bachillerato Tecnológico o Normal Básica,23904
9,Ciudad de México,9015,Cuauhtémoc,5,Bachillerato Tecnológico o Normal Básica,23817
15,Estado de México,15020,Coacalco de Berriozábal,1,Preescolar o Kínder,23718
15,Estado de México,15106,Toluca,13,Maestría,23673
15,Estado de México,15033,Ecatepec de Morelos,10,Normal de Licenciatura,23636
15,Estado de México,15100,Tezoyuca,2,Primaria,23379
15,Estado de México,15099,Texcoco,1,Preescolar o Kínder,23348
15,Estado de México,15056,Morelos,2,Primaria,23292
9,Ciudad de México,9005,Gustavo A. Madero,10,Normal de Licenciatura,23012
15,Estado de México,15091,Teoloyucan,4,Preparatoria o Bachillerato General,22994
9,Ciudad de México,9014,Benito Juárez,1,Preescolar o Kínder,22855
15,Estado de México,15040,Ixtapan de la Sal,2,Primaria,22803
15,Estado de México,15011,Atenco,4,Preparatoria o Bachillerato General,22760
15,Estado de México,15039,Ixtapaluca,5,Bachillerato Tecnológico o Normal Básica,22649
15,Estado de México,15076,San Mateo Atenco,4,Preparatoria o Bachillerato General,22646
15,Estado de México,15105,Tlatlaya,2,Primaria,22489
9,Ciudad de México,9014,Benito Juárez,12,Especialidad,22368
15,Estado de México,15088,Tenancingo,4,Preparatoria o Bachillerato General,22323
15,Estado de México,15092,Teotihuacán,4,Preparatoria o Bachillerato General,22267
15,Estado de México,15104,Tlalnepantla de Baz,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,22190
15,Estado de México,15087,Temoaya,4,Preparatoria o Bachillerato General,21966
15,Estado de México,15057,Naucalpan de Juárez,7,Estudios Técnicos o Comerciales con Secundaria Terminada,21873
